DQN,GA,SA,DE,AFSA
1.2215755198172746,1.23258993,1.278893576,1.21928394,1.223088389
1.4345955606038154,1.43136851,1.436338305,1.43922041,1.457531302
1.6471181238059338,1.65483241,1.654132243,1.65199104,1.670277255
1.865647195595531,1.8688837,1.881397753,1.86623234,1.887778028
2.0760111626477675,2.08832358,2.083106161,2.0806304,2.107783804
2.2974837525379064,2.29083788,2.295635164,2.29542542,2.312146158
2.5049073050576647,2.51137992,2.50626721,2.50234097,2.515230454
2.7177875309144133,2.7171662,2.725536068,2.72090134,2.73604229
2.930979015868706,2.93174322,2.933423157,2.93170057,2.940256963
