DQN,GA,SA,DE,AFSA
1.1820345736235,1.18052996,1.224934636,1.19577172,1.207250877
1.3416523566194578,1.37522926,1.379577206,1.35322309,1.384226012
1.5076519790070444,1.53797235,1.506231588,1.52346291,1.561765627
1.673329692178318,1.70095157,1.847634001,1.69558744,1.732931027
1.8400334996149805,1.84966833,2.055519653,1.86326832,1.852849326
2.010845879832281,2.07238358,2.004685119,2.06397493,2.12592369
2.182670437578873,2.1767073,2.435163082,2.22088828,2.21035727
2.3423097808640923,2.34085915,2.352399904,2.3530558,2.420853716
2.5017182580346855,2.50775696,2.509926951,2.56210678,2.616209698
