DQN,GA,SA,DE,AFSA
1.1646213470863216,1.19731136,1.233691065,1.2008926,1.220982351
1.308227645685147,1.40255326,1.393619408,1.36839879,1.423202648
1.4609885841905461,1.56938414,1.482010446,1.55833126,1.57959642
1.64259845586492,1.7256899,1.745687953,1.7175762,1.77457141
1.7601818448494648,1.85133071,2.07565847,1.90301299,1.974995665
1.9210621417847107,2.01410755,1.945129746,2.08693077,2.234361229
2.0697098055456324,2.16342253,2.324975902,2.20128558,2.342686545
2.2162633151464854,2.34498548,2.356265833,2.37647023,2.565277709
2.3712302875279216,2.55038011,2.423978935,2.59302757,2.713448303
