DQN,GA,SA,DE,AFSA
1.201424544117965,1.22170707,1.209602157,1.2207976,1.254711859
1.3984111037269198,1.43528909,1.523251093,1.42592715,1.446857869
1.596628132106543,1.62805254,1.625111642,1.63970787,1.702055103
1.79120786422923,1.84155469,1.806804106,1.85147565,1.934157472
1.9997881440411205,2.02747691,1.996995037,2.05267582,2.125210929
2.190355401491352,2.19128622,2.193291706,2.2383137,2.330757887
2.3873965738133878,2.50367337,2.384850072,2.47802615,2.511447683
2.5817935258159923,2.62750007,2.584423198,2.67008047,2.766000015
2.778437833778606,2.95405473,2.783167296,2.82378602,3.073930408
