DQN,GA,SA,DE,AFSA
1.2302008333486458,1.2315365,1.232730844,1.2357472,1.246040688
1.461584101183477,1.48920662,1.505645287,1.46570913,1.484465875
1.6826184014891523,1.68376667,1.688011829,1.68926307,1.700670207
1.9079602972810998,1.91929433,1.968764632,1.91425737,1.942322888
2.1363834110992976,2.13685271,2.142326499,2.14812181,2.191963104
2.3641340163865396,2.36147716,2.362415189,2.36281938,2.375314274
2.590070626387563,2.58742605,2.586237331,2.5894562,2.622711819
2.8154505476425578,2.81207634,2.811501762,2.82064302,2.860640937
3.0373057969644526,3.03606597,3.037971389,3.03887052,3.072175655
